file,source_url,retrieved_utc,key_status,notes
2021/ST_2021_QP.pdf,https://gate2027.iitm.ac.in/static/doc/download/2021/st_2021.pdf,2026-09-23T17:03:29Z,n/a,"Official GATE 2021 paper (Organising Institute: IIT Bombay). Original 2021 site no longer hosts it; byte-identical copies also on gate2026.iitg.ac.in, gate2025.iitr.ac.in and gate2024.iisc.ac.in. IMAGE-ONLY PDF (0 non-space text chars; .txt is empty; not OCRed). Identity checked visually: header 'Graduate Aptitude Test in Engineering 2021 / Organising Institute - IIT Bombay / Statistics (ST)'. pp.1-27 questions numbered GA Q.1-Q.10 then ST Q.1-Q.55 (65 total; p.27 ends 'END OF THE QUESTION PAPER'); pp.28-30 = appended answer key identical to ST_2021_KEY.pdf. PDF created 2021-07-02 by 'GATE Office'. 30 pp; 29 text chars"
2021/ST_2021_KEY.pdf,https://gate2027.iitm.ac.in/static/doc/download/Answer_keys2021/st_2021.pdf,2026-09-23T17:04:04Z,final,"Final INFERRED, not labelled. Pixel-identical to pp.28-30 of the official QP file created 2021-07-02, after the March 2021 results. Same file on gate2026.iitg.ac.in. Scanned pages re-saved by PDFium 2025-08-11 with an embedded OCR text layer of poor quality (rows 9/21/44 garbled; text kept as embedded, not re-OCRed). Header 'Graduate Aptitude Test in Engineering (GATE 2021) / Answer Keys and Marks for Subject/Paper: Statistics (ST)'; running title misprinted 'GATE 2019 Answer Key for Statistics (ST)' in the official file. Visually covers GA 1-10 + ST 1-55 (65 Qs); no MTA. Wayback has no copy of IIT Bombay's own key to confirm. 3 pp; 2011 text chars"
2022/ST_2022_QP.pdf,https://gate2027.iitm.ac.in/static/doc/download/2022/st_2022.pdf,2026-09-23T17:04:12Z,n/a,"Official GATE 2022 paper (IIT Kharagpur); text 'GATE 2022 Statistics (ST)'. Same file on gate2026/gate2025/gate2024 sites. Original gate.iitkgp.ac.in unreachable (TLS reset upstream). pp.1-40 questions; pp.41-42 appended key identical to ST_2022_KEY.pdf. All 65 questions present: Q.48 is misprinted as a second 'Q.38' (p.34) in the official paper, so the text shows Q.1-47,49-65. 42 pp; 31154 text chars"
2022/ST_2022_KEY.pdf,https://gate2027.iitm.ac.in/static/doc/download/Answer_keys2022/st_2022.pdf,2026-09-23T17:04:27Z,final,"Final INFERRED, not labelled. Text identical to IIT Kharagpur's original documents/ANS/ST_ANS_GATE2022.pdf: created 2022-03-16, after the Feb 2022 challenge window; unchanged in Wayback captures from 2022-03-18, after results, to 2022-09-29 (Wayback used for verification only). Same file on gate2026.iitg.ac.in; PDFium re-save 2025-08-11. Header banner is an image ('GATE 2022 ... Organised by IIT Kharagpur'), so the text layer only has subject code 'ST' and no year. Rows 1-65; no MTA. 2 pp; 1438 text chars"
2023/ST_2023_QP.pdf,https://gate2027.iitm.ac.in/static/doc/download/2023/st_2023.pdf,2026-09-23T17:04:34Z,n/a,"Official GATE 2023 paper; every page headed 'Statistics (ST)' / 'Organizing Institute: IIT Kanpur'. Same file on gate2024.iisc.ac.in. Original gate.iitk.ac.in unreachable (proxy CONNECT 502, upstream). Q.1-Q.65 all found. 48 pp; 31574 text chars"
2023/ST_2023_KEY.pdf,https://gate2027.iitm.ac.in/static/doc/download/Answer_keys2023/ST_ANS_GATE2023.pdf,2026-09-23T17:04:59Z,final,"Final INFERRED, not labelled. IIT Kanpur Excel export titled 'GATE 2023 Statistics (ST)', created 2023-03-06, after the Feb 2023 challenge window. Byte-identical (SHA-1) to IITK's own gate.iitk.ac.in/GATE2023/doc/papers/2023/ANS/ST_ANS_GATE2023.pdf per Wayback digest; unchanged in captures from 2023-06 to 2026-02. Rows 1-65; no MTA. 2 pp; 1334 text chars"
2024/ST_2024_QP.pdf,https://gate2024.iisc.ac.in/wp-content/uploads/2024/ST24S6.pdf,2026-09-23T17:00:25Z,n/a,"Official IISc paper ST24S6 ('S6' = exam session 6; ST had only one paper). Every page headed 'Statistics (ST)' / 'Organizing Institute: IISc, Bengaluru'. URL found via the site's WordPress media API: the question-papers table's AJAX endpoint returns 403 from IISc's own gateway. Same file linked on gate2027 as ST24S6.pdf. Q.1-Q.65 all found. 47 pp; 36310 text chars"
2024/ST_2024_KEY.pdf,https://gate2024.iisc.ac.in/wp-content/uploads/2024/STFinalAnswerKey.pdf,2026-09-23T17:00:30Z,final,Labelled 'Statistics (ST) Final Answer Key' (uploaded 2024-03-14). The provisional STKey.pdf (2024-02-17) was not downloaded. Rows 1-65; no MTA. 2 pp; 1290 text chars
2025/ST_2025_QP.pdf,https://gate2025.iitr.ac.in/doc/2025/2025_QP/ST.pdf,2026-09-23T17:01:52Z,n/a,"Official IIT Roorkee paper; pages headed 'Statistics (ST)' / 'Organizing Institute: IIT Roorkee'. The server omits its intermediate certificate, so it was fetched with verification on using curl --cacert (proxy CA bundle + 'GlobalSign GCC R6 AlphaSSL CA 2025' from the leaf's AIA URL). Q.1-Q.65 all found. 36 pp; 25389 text chars"
2025/ST_2025_KEY.pdf,https://gate2025.iitr.ac.in/doc/2025/2025_Key/ST_Keys.pdf,2026-09-23T17:01:57Z,final,"Linked in the 'Final Answer Key' column of gate2025.iitr.ac.in/question-papers.html. PDF title 'GATE2025 - Key' (author IIT Roorkee), created 2025-03-10, after the 27 Feb-1 Mar 2025 challenge window. Rows 1-65; no MTA. Fetched with the same cert fix as the QP. 2 pp; 1330 text chars"
